X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
22.195196,40.599963,0,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.232801,40.157392,0,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.294771,37.616138,0,ΑΓΙΟΣ ΚΗΡΥΚΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.599755,38.664785,0,ΑΓΙΟΣ ΠΕΤΡΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.630392,37.952937,0,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.485918,35.164966,0,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.698837,40.249877,0,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.56218,39.867335,0,ΑΓΙΟΦΥΛΛΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.778276,41.086543,0,ΑΓΙΟΧΩΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.472179,40.557482,0,ΑΓΚΑΘΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.132755,37.01505,0,ΑΓΚΑΙΡΙΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.436424,38.877305,0,ΑΓΚΑΛΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.349831,37.709792,0,ΑΓΚΙΣΤΡΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.441691,41.376112,0,ΑΓΚΙΣΤΡΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.43153,35.237635,0,ΑΓΚΟΥΣΕΛΙΑΝΩΝ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.081849,39.473588,0,ΑΓΝΑΝΤΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.617688,39.419278,0,ΑΓΝΑΝΤΕΡΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.844304,39.484839,0,ΑΓΝΑΝΤΕΡΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.059032,39.16105,0,ΑΓΡΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.93233,39.71931,0,ΑΓΡΕΛΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
